Country Name	Country Code	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017
Algeria	DZA	520000	605000	635000	678000	749000	866000	901000	988000	1166000	1234000	1443000	1638000	1743000	1772000	1912000	2070000	2395000	2634000	2733000	2301000	1710000		
East Asia & Pacific (excluding high income)	EAP	43574262.9	47954666.67	48585527.91	49142086.83	54906341.87	62827787.64	68262332.64	73898462.89	65681094.61	84046166.6	91037502.52	98288940.3	109659556.5	110339543.4	108789396.1	119849436	127992468.8	134631328.2	141424647.4	144255779.4	152893285.5		
Early-demographic dividend	EAR	70026359.33	76476894.54	78919919.98	82009373.9	83226324.71	91242719.13	90337753.77	96207120.26	98240634.9	114781657.1	124816418.3	132716613.5	151698940.5	167091759.2	159834346.1	177794919.3	176349967	188781608.6	196501097.6	220836380.1	227462810.8		
East Asia & Pacific	EAS	77640908.45	84144563.5	84584761.88	84599202.01	93425255.04	105024808.5	110806822.6	119838774.7	107631075.3	137722518.6	148651987.8	160074884.6	177106944.1	175814070.1	172930207.8	195022829.7	206837584.1	221491503.8	236057043.5	249021145.3	263416910.6		
Europe & Central Asia (excluding high income)	ECA	34531244.54	42607999.55	51443148.16	48374513.76	45989973.09	56059488.68	61737092.4	68767109.89	72574097.76	82358395.23	87572348.88	90535402.08	107956318.9	117175137.6	109096145.5	113395074.6	125571179.4	136258634.1	146333060.9	139625156.7	143772003.3		
Europe & Central Asia	ECS	296572282.8	312623005.4	337651077.5	347928710.4	356052893	382798132	383205957.3	394577884.2	397355918.9	415282653	438454529.8	461657633.1	489067257.8	491590971.2	466043318.3	479192117.6	510837818.8	530293547.7	558069681	571092865.6	596369896.7		
Ecuador	ECU	440000	494000	529000	511000	518000	627000	641000	683000	761000	819000	860000	841000	937000	1005000	968000	1047000	1141000	1272000	1364000	1557000	1543000		
"Egypt, Arab Rep."	EGY	2871000	3528000	3656000	3213000	4490000	5116000	4357000	4906000	5746000	7795000	8244000	8646000	10610000	12296000	11914000	14051000	9497000	11196000	9174000	9628300	9139000		
Euro area	EMU	196847000	202466000	217627000	229558000	240992000	255220000	253457000	259072000	257998000	259716000	268230000	284573000	293226000	290324000	277270000	283879000	301030000	307576000	321194000	335866000	351200000		
Eritrea	ERI	315000	417000	410000	188000	57000	70000	113000	101000	80000	87000	83000	78000	81000	70000	79000	84000	107000						
Spain	ESP	32971000	34027000	39553000	41892000	45440000	46403000	48565000	50331000	50854000	52430000	55914000	58004000	58666000	57192000	52178000	52677000	56177000	57464000	60675000	64939000	68215000		
Estonia	EST	530000	665000	730000	825000	950000	1220000	1320000	1362000	1462000	1750000	1917000	1940000	1900000	2079000	2059000	2372000	2665000	2744000	2873000	2918000	2989000		
Ethiopia	ETH	103000	109000	139000	112000	115000	136000	148000	156000	180000	184000	227000	330000	358000	383000	427000	468000	523000	597000	681000	770000	864000		
European Union	EUU	258870000	267764000	285078000	297044000	306801000	324840000	320374000	325998000	327323000	337254000	354140000	374184000	385690000	381017000	362791000	371704000	391782000	401945000	419948000	440496000	462013000		
Fragile and conflict affected situations	FCS	5257729.102	6201841.029	6016076.94	7315523.794	7619879.761	8359066.877	8717809.033	9574726.326	9961757.678	11184854.16	11546739.11	14408939.05	15355741.18	17349101.03	19936785.52	24142235.56	20260593.14						
Finland	FIN	1779000	1724000	1832000	1867000	1831000	1971000	1999000	2043000	2047000	2083000	2080000	2317000	2472000	2494000	2220000	2319000	2623000	2778000	2797000	2731000	2622000		
Fiji	FJI	318000	340000	359000	371000	410000	294000	348000	398000	431000	504000	545000	549000	540000	585000	542000	632000	675000	661000	658000	693000	755000	792000	
France	FRA	60033000	62406000	66591000	70109000	73147000	77190000	75202000	77012000	75048000	74433000	74988000	77916000	80853000	79218000	76764000	76647000	80499000	81980000	83634000	83701000	84452000		
Faroe Islands	FRO																							
"Micronesia, Fed. Sts."	FSM		17600	17200	13400	16100	20500	15300	19100	18200	19300	19000	19100	21100	25700	47500	44700	35400	38300	42100	35400	30200		
Gabon	GAB	125000	145000	167000	195000	178000	155000	169000	208000	222000	244000	269000												
United Kingdom	GBR	21719000	22936000	23215000	23710000	23341000	23212000	20982000	22307000	22787000	25678000	28039000	30654000	30870000	30142000	28199000	28295000	29306000	29282000	31063000	32613000	34436000		
Georgia	GEO	85000	117000	313000	317000	384000	387000	302000	298000	313000	368000	560000	983000	1052000	1290000	1500000	2032000	2822000	4428000	5392000	5516000	5901000	6351000	
Ghana	GHA	286000	305000	325000	348000	373000	399000	439000	483000	531000	584000	429000	497000	587000	698000	803000	931000	821000	903000	994000	825000	897000		
Gibraltar	GIB																							
Guinea	GIN		12000	17000	23000	27000	33000	38000	43000	44000	45000	45000	46100	30000	24000		12400	131000	96000	56000	33000	35000		
"Gambia, The"	GMB	45000	77000	85000	91000	96000	79000	57000	81000	89000	90000	108000	125000	143000	147000	142000	91000	106000	157000	171000	156000	135000		
Guinea-Bissau	GNB							7800				5000	11600	15600	18000	16000	22300	36700	35400	35500	36100	43800		
Equatorial Guinea	GNQ																							
Greece	GRC	10130000	9233000	10070000	10916000	12164000	13096000	14057000	14180000	13969000	13313000	14765000	16039000	16165000	15939000	14915000	15007000	16427000	15518000	17920000	22033000	23599000		
Grenada	GRD	108000	108000	111000	116000	125000	129000	123000	132000	142000	134000	99000	119000	130000	130000	114000	110000	118000	116000	113000	134000	140700		
Greenland	GRL																							
Guatemala	GTM	563000	520000	576000	636000	823000	826000	835000	884000	880000	1182000	1316000	1502000	1628000	1715000	1393000	1384000	1434000	1491000	1516000	1739000	1865000	1917000	
Guam	GUM	1362000	1373000	1382000	1137000	1162000	1287000	1159000	1059000	910000	1160000	1228000	1212000	1225000	1142000	1053000	1197000	1160000	1308000	1334000	1343000	1409000	1535000	
Guyana	GUY	106000	92000	76000	66000	75000	105000	99000	104000	101000	122000	117000	113000	134000	130000	141000	152000	157000	177000	158000	206000	207000		
High income	HIC	377160814.7	390435529.6	409910491.3	423634214.6	440601429.2	465918742.2	456827494.1	462463728.1	453989056.4	484529091.8	510678088.3	538504916.6	563703139	561957116.6	534143891.3	563584238.6	588648748.3	614385347.7	644362862.9	684438846.1	718139915.8		
"Hong Kong SAR, China"	HKG				7137000	7837000	8814000	8878000	10689000	9676000	13655000	14773000	15821000	17154000	17319000	16926000	20085000	22316000	23770000	25661000	27770000	26686000	26553000	
Honduras	HND	271000	263000	307000	321000	371000	471000	518000	550000	611000	641000	673000	739000	804000	869000	836000	863000	871000	895000	863000	868000	880000		
Heavily indebted poor countries (HIPC)	HPC	4631065.427	5233091.022	5638577.375	5755331.7	5898732.27	6171105.567	6481104.903	7144494.559	7482550.658	8507987.492	9821438.428	11138075.71	12644323.09	13494101.15	13795371.83	14971233.21	16654322.68	17980054.49	18598787.24	18955503.98	20322511.83		
Croatia	HRV	1485000	2914000	4178000	4499000	3805000	5831000	6544000	6944000	7409000	7912000	7743000	7988000	8559000	8665000	8694000	9111000	9927000	10369000	10948000	11623000	12683000		
Haiti	HTI	145000	150000	149000	147000	143000	140000	142000	140000	136000	96000	112000	108000	386000	258000	387000	255000	349000	349000	420000	465200	516000		
Hungary	HUN	2878000	2979000	2887000	2871000	2789000	2992000	3070000	3013000	2948000	3270000	3446000	3310000	3451000	3516000	3228000	3462000	3822000	4164000	4388000	4618000	4929000		
IBRD only	IBD	154611676	169935572.6	179360143.5	181124358.2	186990147.3	208589608.2	215103406.2	226538059.1	224862639.9	263734656.6	283648146.6	298981750.7	331588131.8	345145888.6	332158487.5	357912912.6	374735027.2	398624110.3	415793388.1	426265453.8	439454156.7		
IDA & IBRD total	IBT	167171553.9	184211993.5	194630162.3	197766272.7	204110836.4	226859286.1	234146166.3	246914837.7	246133995.9	288374671.8	310304474.6	330984720.9	367951795.7	383643915.4	371331593.5	401782320.9	418862408.7	445164443	466420714.9	479704131.6	496464686.4		
IDA total	IDA	11271004.39	12902007.85	13836898.67	15301538.59	15731673.54	16649615.35	17389815.79	18659686.41	19648791	22712918.82	24595893.2	30131513.73	34324753.51	36399564.26	37219236.99	41815311.29	41889308.77	44082241.07	48539016.36	51684247.79	55713324.07		
IDA blend	IDB	4416347.635	4887028.948	5208237.141	6026628.974	5976804.601	5753124.968	6000126.648	5912138.925	6213205.35	6510031.403	6686006.849	8203000	9182000	8396000	8972000	9421000	9562660.786	8627922.685	8581526.41				
Indonesia	IDN	4324000	5034000	5185000	4606000	4728000	5064000	5153000	5033000	4467000	5321000	5002000	4871000	5506000	6234000	6324000	7003000	7650000	8044000	8802000	9435000	10407000		
IDA only	IDX	6800830.205	7968572.477	8581707.782	9200136.672	9697220.094	10883905.04	11377212.3	12762850.4	13452371.64	16258552.32	17989790.16	22025745.52	25267687.56	28241619.42	28464936.56	32682687.02	32621070.45	35980701.94	40543802.4	43748988.8	47621189.98		
Isle of Man	IMN																							
India	IND	2124000	2288000	2374000	2359000	2482000	2649000	2537000	2384000	2726000	3457000	3919000	4447000	5082000	5283000	5168000	5776000	6309000	6578000	6968000	13107000	13284000		
Not classified	INX																							
Ireland	IRL	4818000	5289000	5587000	6064000	6403000	6646000	6353000	6476000	6764000	6953000	7333000	8001000	8332000	8026000	7189000	7134000	7630000	7550000	8260000	8813000	9528000		
"Iran, Islamic Rep."	IRN	568000	693000	860000	1124000	1321000	1342000	1402000	1585000	1546000	1659000	1889000	2735000	2219000	2034000	2116000	2938000	3354000	3834000	4769000	4967000	5237000		
Iraq	IRQ	61000	51000	15000	45000	30000	78000	127000							864000	1262000	1518000	1510000	1111000	892000				
Iceland	ISL	190000	201000	202000	232000	263000	303000	301000	285000	317000	360000	374000	422000	485000	502000	494000	489000	566000	673000	807300	997600	1289000		
Israel	ISR	2215000	2100000	2010000	1942000	2312000	2417000	1196000	861900	1063000	1505600	1903000	1825000	2067000	2572000	2321000	2803000	2820000	2886000	2962000	2927000	2799000		
Italy	ITA	31052000	32943000	34692000	34933000	36516000	41181000	39563000	39799000	39604000	37071000	36513000	41058000	43654000	42734000	43239000	43626000	46119000	46360000	47704000	48576000	50732000		
Jamaica	JAM	1147000	1162000	1192000	1225000	1248000	1323000	1277000	1266000	1350000	1415000	1479000	1679000	1701000	1767000	1831000	1922000	1952000	1986000	2008400	2080000	2123000	2182000	
Jordan	JOR	1075000	1106000	1132000	1772000	1790000	1580000	1672000	2384000	2353000	2853000	2987000	3225000	3431000	3729000	3789000	4207000	3960000	4162000	3945000	3990000	3761000		
Japan	JPN	3345000	3837000	4218000	4106000	4438000	4757000	4772000	5239000	5212000	6138000	6728000	7334000	8347000	8351000	6790000	8611000	6219000	8358000	10364000	13413000	19737000		
Kazakhstan	KAZ						1471000	1845000	2832000	2410000	3073000	3143000	3468000	3876000	3005000	2755000	2991000	4093000	4437000	4926000	4560000			
Kenya	KEN	918000	947000	928000	792000	862000	899000	841000	838000	927000	1199000	1399000	1464000	1686000	1141000	1392000	1470000	1750000	1619000	1434000	1261000	1114000		
Kyrgyz Republic	KGZ	36000	42000	87000	59000	48000	59000	99000	140000	342000	398000	319000	766000	1656000	1844000	1394000	855000	2278000	2406000	3076000	2849000	3051000		
Cambodia	KHM	220000	260000	219000	287000	368000	466000	605000	787000	701000	1055000	1422000	1700000	2015000	2125000	2162000	2508000	2882000	3584000	4210000	4503000	4775000	5012000	
Kiribati	KIR	3900	4200	5100	5700	5100	4800	4600	4900	4900	3400	4100	4400	4700	3900	3900	4700	5300	4900	5900	5100	4400		
St. Kitts and Nevis	KNA	79000	84000	88000	93000	84000	73000	71000	69000	91000	118000	141000	139000	123000	128000	83000	98000	104000	104000	107000	113000	122000		
"Korea, Rep."	KOR	3753000	3684000	3908000	4250000	4660000	5322000	5147000	5347000	4753000	5818000	6023000	6155000	6448000	6891000	7818000	8798000	9795000	11140000	12176000	14202000	13232000	17242000	
Kuwait	KWT	72000	76000	79000	77000	84000	78000	73000	96000	94000	91000	104000	185000	293000	259000	297000	207000	269000	300000	307000				
Latin America & Caribbean (excluding high income)	LAC	35290000	37374000	36683000	39703000	40258000	43156000	41657000	40722000	41479000	46635000	50890000	52663000	55026000	57383000	55584000	58002000	60868000	63078000	64627400	73035100	78441700		
Lao PDR	LAO	60000	93000	193000	200000	259000	191000	173000	215000	196000	407000	672000	842000	1142000	1295000	1239000	1670000	1894000	2291000	2700000	3164000	3543000		
Lebanon	LBN	450000	424000	558000	631000	673000	742000	837000	956000	1016000	1278000	1140000	1063000	1017000	1333000	1844000	2168000	1655000	1366000	1274000	1355000	1518000		
Liberia	LBR																							
Libya	LBY										43000	81000	42000	38000	34000									
St. Lucia	LCA	231000	236000	248000	252000	264000	270000	250000	253000	277000	298000	318000	303000	287000	296000	278000	306000	312000	307000	319000	338000	345000		
Latin America & Caribbean	LCN	47000373.6	48999474.56	49034476.33	52244638.45	52365644.56	55645810.22	54161735.27	51665609.21	53098681.58	59365998.09	64117238.04	66246345.56	68956482.43	71898631.01	69282498.89	72043638.34	75854830.81	78530665.94	80200050.25	89128601.16	96126554.57		
Least developed countries: UN classification	LDC	4354104.525	5483445.95	5867652.965	5965710.714	6111186.982	6213574.225	6509746.424	7236697.6	7515001.971	9177257.573	11102327.9	13385506.24	15446804.52	16666845.99	16686649.37	18551485.52	20628391.01	22975674.65	25904828.04	28590005.67	30152805.16		
Low income	LIC	5129818.547	5810806.296	5655603.277	6650396.955	6859082.097	6448003.829	6784845.597	6940163.423	7500937.319	7656131.68	8171964.648	10001308.26	11364318.62	11364202.96	11643293.22	12576338.22	14463113.25	14556684.42	14975944.03	14986498.07	14936455.33		
Liechtenstein	LIE	59000	56000	57000	59000	60000	61600	56500	48700	49000	48500	49800	54900	58300	58500	52300	49800	53300	53600	52400	53700	48600		
Sri Lanka	LKA	403000	302000	366000	381000	436000	400000	337000	393000	501000	566000	549000	560000	494000	438000	448000	654000	856000	1006000	1275000	1527000	1798000	2051000	
Lower middle income	LMC	31590740.53	34658734.78	41236996.32	40483532.37	41813473.73	47003364.47	49591127.35	53333645.69	56819365.24	70137919.55	77116739.94	84928134.51	97868168.28	106416556.3	102478571.9	114082715.7	109417440.6	120615840.1	128530642	127279199.9	129992635.3		
Low & middle income	LMY	143304405.9	158967472.9	167713917	171589718.8	180063315.9	201603221.4	210487108.7	224831443.6	223600592.9	264530362.4	285748134	305530960.2	342636912.9	360291229.4	349020359.3	378466014.6	393032754.8	417334176.7	437186428.3	449669654.4	464029378.3		
Lesotho	LSO	209000	312000	313000	290000	308000	302000	295000	287000	329000	304000	304000	357000	300000	293000	344000	426000	398000	423000	433000	1079000	1082000		
Late-demographic dividend	LTE	108279806.8	117602482	121467133	124202606.1	134192251.7	146850772.9	150507057.8	156582494.4	151734061	175543995.8	185970310.4	198803341.1	215337036	217236608.8	209709995.7	223826227.9	239381404.3	255601075.8	268601423.2	274699722.1	286782242.8		
Lithuania	LTU	650000	832000	1012000	1416000	1422000	1083000	1271000	1428000	1491000	1800000	2000000	2180000	1486000	1611000	1341000	1507000	1775000	1900000	2012000	2063000	2071000		
Luxembourg	LUX	768000	724000	778000	789000	863000	852000	836000	885000	867000	878000	913000	908000	914000	877000	847000	805000	874000	950000	945000	1038000	1090000		
Latvia	LVA	539000	565000	635000	576000	544000	509000	591000	848000	971000	1079000	1116000	1535000	1653000	1684000	1323000	1373000	1493000	1435000	1536000	1843000	2024000		
"Macao SAR, China"	MAC	4202000	4690000	3836000	4517000	5050000	5197000	5842000	6565000	6309000	8324000	9014000	10683000	12945000	10610000	10402000	11926000	12925000	13577000	14268000	14566000	14308000	15703600	
St. Martin (French part)	MAF																							
Morocco	MAR	2602000	2693000	3072000	3095000	3817000	4278000	4380000	4453000	4761000	5477000	5843000	6558000	7408000	7879000	8341000	9288000	9342000	9375000	10046000	10283000	10177000		
Monaco	MCO	233000	226000	259000	278000	278000	300000	270000	263000	235000	250000	286000	313000	328000	324000	265000	279000	295000	292000	328000	329000	331000		
Moldova	MDA	32000	29000	21000	19000	14000	18000	16000	18000	21000	69000	67000	63000	70000	73000	60000	64000	75000	89000	95600	93900	94400		
Madagascar	MDG	75000	83000	101000	121000	138000	160000	170000	62000	139000	229000	277000	312000	344000	375000	163000	196000	225000	256000	196000	222000	244000	293000	
Maldives	MDV	315000	339000	366000	396000	430000	467000	461000	485000	564000	617000	395000	602000	676000	683000	656000	792000	931000	958000	1125000	1205000	1234000	1286000	
Middle East & North Africa	MEA	24178776.49	24838167.39	26797079.28	29335310.24	33648873.81	37374434.03	37111513.3	41048669.09	42904448	50985788.67	53990773.7	59881886.1	67057747.27	77060749.53	75990781.82	87833704.9	75204053.09	83507351.7	84469160.42	89831271.3	87212735.18		
Mexico	MEX	20241000	21395000	19351000	19392000	19043000	20641000	19810000	19667000	18665000	20618000	21915000	21353000	21606000	22931000	22346000	23290000	23403000	23403000	24151000	29346000	32093000		
Marshall Islands	MHL	5500	6200	6400	6400	4600	5200	5400	6000	7200	9000	9200	5800	7200	6000	5400	4600	4600	4600		4900	6300		
Middle income	MIC	138503961.2	154841261.8	164853939.5	168221124.5	175687171.3	199263409.8	208464254.8	222876119.9	221674166	262385600.4	282701408.9	300946146.5	336963946.9	354498489.4	343160692.9	371836989.7	385394033	409749808.8	429568476.9	442567942.7	457881816.4		
"Macedonia, FYR"	MKD	147000	136000	121000	157000	181000	224000	99000	123000	158000	165000	197000	202000	230000	255000	259000	262000	327000	351000	400000	425000	486000	510000	
Mali	MLI	42000	98000	75000	83000	82000	86000	89000	96000	110000	113000	143000	153000	164000	190000	160000	169000	160000	134000	142000	168000	159300		
Malta	MLT	1116000	1054000	1111000	1182000	1214000	1216000	1180000	1134000	1127000	1156000	1171000	1124000	1244000	1291000	1182000	1339000	1415000	1443000	1582000	1690000	1783000	1966000	
Myanmar	MMR	194000	490000	491000	478000	435000	416000	475000	487000	597000	657000	660000	630000	716000	731000	763000	792000	816000	1059000	2044000	3081000	4681000		
Middle East & North Africa (excluding high income)	MNA	13830125.65	14612824.19	15919073.53	17429068.82	20133615.16	22301492.63	22128256.87	24086221.5	25506081.4	31263864.53	33277211.57	37309619.77	40142268.87	44695909.45	47445893.8	55256542.45	44708140.66	48520543.14	48154054.63	48664514.97	44464421.8		
Montenegro	MNE								136000	142000	188000	272000	378000	984000	1031000	1044000	1088000	1201000	1264000	1324000	1350000	1560000	1662000	
Mongolia	MNG	108000	71000	55000	165000	138000	137000	166000	229000	201000	301000	338000	386000	452000	446000	433000	456000	460000	476000	418000	393000	386000	404000	
