id,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,Region,IncomeGroup,CountryName
CAF,,,,,,,,5000,6000,7000,8000,11000,,,,38000,,,,,,,Sub-Saharan Africa,Low income,Central African Republic
CAN,18206000,18973000,19111000,17648000,18368000,19182000,18359000,17705000,17739000,19595000,21099000,22731000,25163000,27034000,26204000,28680000,30450000,32276000,32971000,33518000,32267000,,North America,High income,Canada
CHE,11148000,12061000,12515000,11891000,11815000,12240000,11554000,11427000,8774000,,,,,11147000,10453000,10011000,10466000,12098000,12403000,12518000,13601000,,Europe & Central Asia,High income,Switzerland
CHI,,,,,,,,,,,,,,,,,,,,,,,Europe & Central Asia,High income,Channel Islands
CHL,,,,,,1319000,1180000,1293000,1341000,1504000,1725000,1887000,2047000,1899500,1909300,2218700,2637600,2837100,2999000,3169000,3359000,,Latin America & Caribbean,High income,Chile
CHN,4520000,5061000,5324000,8426000,9232000,10473000,12133000,16602000,20222000,28853000,31026000,34524000,40954000,45844000,47656000,57386000,70250000,83183000,98185000,107276000,116886000,,East Asia & Pacific,Upper middle income,China
CIV,,,,,,,,,,,,,,,,,,,,,,,Sub-Saharan Africa,Lower middle income,Cote d'Ivoire
CMR,,,,,,,,,,,,,,,,,,,,,,,Sub-Saharan Africa,Lower middle income,Cameroon
COD,,,,50000,50000,,,,,,,,,,,,,,,,,,Sub-Saharan Africa,Low income,"Congo, Dem. Rep."
COG,,,,,,,,,,,,,,,,,,161000,180000,,,,Sub-Saharan Africa,Lower middle income,"Congo, Rep."
COL,1057000,929000,1071000,1093000,1098000,1235000,1381000,1277000,1177000,1405000,1553000,,2028000,2042000,2122000,2342000,2522000,3165000,3605000,3911000,3860000,,Latin America & Caribbean,Upper middle income,Colombia
COM,,,,,,,,,,,,,,,,,,,,,,,Sub-Saharan Africa,Low income,Comoros
CPV,,,,,,,,,,,,,,,,,,,,,,,Sub-Saharan Africa,Lower middle income,Cabo Verde
CRI,273000,283000,288000,330000,353000,381000,361000,364000,373000,425000,487000,485000,577000,528000,579000,662000,717000,773000,790000,798000,919000,,Latin America & Caribbean,Upper middle income,Costa Rica
CUB,72000,72000,83000,94000,97000,139000,121000,111000,113000,124000,162000,199000,194000,202000,206000,251000,253000,213000,286000,355000,580000,,Latin America & Caribbean,Upper middle income,Cuba
CUW,,,,,,,,,,,,,,,,,,,,,,,Latin America & Caribbean,High income,Curacao
CYM,,,,,,,,,,,,,,,,,,,,,,,Latin America & Caribbean,High income,Cayman Islands
CYP,360000,365000,422000,484000,540000,588000,684000,744000,737000,859000,914000,932000,1081000,1210000,1172000,1246000,1209000,1194000,1115000,1209000,1119000,1268000,Europe & Central Asia,High income,Cyprus
CZE,,,,,,,,,7213000,6643000,6963000,6393000,9048000,9665000,8904000,8673000,5279000,5419000,5781000,5651000,5856000,,Europe & Central Asia,High income,Czech Republic
DEU,,,55800000,69200000,78100000,80507000,81551000,80393000,85345000,84859000,86622000,81801000,82099000,86201000,85547000,85872000,84692000,82729000,87459000,83008000,83737000,,Europe & Central Asia,High income,Germany
DJI,,,,,,,,,,,,,,,,,,,,,,,Middle East & North Africa,Lower middle income,Djibouti
DMA,,,,,,,,,,,,,,,,,,,,,,,Latin America & Caribbean,Upper middle income,Dominica
DNK,,5035000,4693000,4788000,4744000,5011000,4946000,4935000,5564000,4630000,5469000,6129000,6564000,6347000,7037000,7726000,7846000,7843000,6977000,8528000,8991000,,Europe & Central Asia,High income,Denmark
DOM,168000,358000,355000,354000,363000,360000,331000,332000,321000,368000,419000,420000,443000,413000,415000,401000,408000,418000,392000,427000,478000,500000,Latin America & Caribbean,Upper middle income,Dominican Republic
DZA,1090000,874000,827000,879000,903000,1006000,1190000,1257000,1254000,1417000,1513000,1349000,1499000,1539000,1677000,1757000,1715000,1911000,2136000,2839000,3638000,,Middle East & North Africa,Upper middle income,Algeria
ECU,271000,275000,321000,330000,386000,520000,562000,627000,613000,603000,664000,733000,801000,815000,814000,899000,1022000,1022000,1138000,1278000,1398000,,Latin America & Caribbean,Upper middle income,Ecuador
EGY,2683000,2812000,2722000,2854000,2886000,2964000,3074000,3330000,3644000,5210000,5307000,4531000,,,4716000,4618000,4863000,5678000,5782000,6180000,,,Middle East & North Africa,Lower middle income,"Egypt, Arab Rep."
ERI,,,,,,,,,,,,,,,,,,,,,,,Sub-Saharan Africa,Low income,Eritrea
ESP,3648000,4224000,3980000,4794000,3519000,4100000,4139000,3871000,4094000,5121000,10464000,10678000,11276000,11229000,12017000,12379000,13347000,12422000,11246000,11783000,14407000,,Europe & Central Asia,High income,Spain
EST,1764000,1547000,1616000,1659000,1780000,1800000,1658000,1849000,2075000,,,438000,677000,692000,752000,955000,1054000,1147000,1166000,1426000,1250000,,Europe & Central Asia,High income,Estonia
ETH,120000,133000,,,,,,,,,,,,,,,,,,,,,Sub-Saharan Africa,Low income,Ethiopia
FIN,5147000,4918000,5233000,4743000,5314000,5914000,5824000,5857000,5585000,5798000,5902000,5756000,5749000,5854000,5832000,6633000,7274000,9055000,8562000,8731000,8904000,,Europe & Central Asia,High income,Finland
FJI,68000,72000,74000,78000,89000,83000,85000,99000,104000,94000,109000,121000,120000,124000,125000,128000,132000,132000,,,,,East Asia & Pacific,Upper middle income,Fiji
FRA,18686000,18151000,17115000,18077000,16709000,19886000,19265000,18315000,18576000,21131000,22480000,22240000,28103000,25506000,25140000,25041000,26155000,25317000,26062000,27919000,26648000,,Europe & Central Asia,High income,France
FRO,,,,,,,,,,,,,,,,,,,,,,,Europe & Central Asia,High income,Faroe Islands
FSM,,,,,,,,,,,,,,,,,,,,,,,East Asia & Pacific,Lower middle income,"Micronesia, Fed. Sts."
GAB,,,,203000,187000,168000,189000,219000,236000,,,,,,,,,,,,,,Sub-Saharan Africa,Upper middle income,Gabon
GBR,41345000,42050000,45957000,50872000,53881000,56837000,58281000,59377000,61424000,64194000,66494000,69536000,69450000,69011000,58614000,55562000,56836000,56538000,57792000,60082000,65720000,,Europe & Central Asia,High income,United Kingdom
GEO,228000,219000,355000,433000,373000,315000,306000,317000,,466000,857000,1346000,1473000,1872000,1980000,2086000,2237000,2734000,3220000,3106000,3135000,,Europe & Central Asia,Lower middle income,Georgia
GHA,,,,,,,,,,,,,,,,,,,,,,,Sub-Saharan Africa,Lower middle income,Ghana
GIB,,,,,,,,,,,,,,,,,,,,,,,Europe & Central Asia,High income,Gibraltar
GIN,,,,,,,,,,,,,,,,,,,,,,,Sub-Saharan Africa,Low income,Guinea
GMB,,,,,,,,,,,387000,307000,,,,,,,,,,,Sub-Saharan Africa,Low income,"Gambia, The"
GNB,,,,,,,,,,,,,,,,,,,,,,,Sub-Saharan Africa,Low income,Guinea-Bissau
GNQ,,,,,,,,,,,,,,,,,,,,,,,Sub-Saharan Africa,Upper middle income,Equatorial Guinea
GRC,,,,,,,,,,,,,,3765000,3835000,3799000,4941000,4681000,4594000,5802000,6291000,,Europe & Central Asia,High income,Greece
GRD,,,,,,,,,,,,,,,,,,,,,,,Latin America & Caribbean,Upper middle income,Grenada
GRL,,,,,,,,,,,,,,,,,,,,,,,Europe & Central Asia,High income,Greenland
GTM,333000,333000,331000,391000,485000,488000,580000,629000,658000,854000,982000,1055000,1168000,1277000,651000,694000,718000,721000,846000,992000,1130000,1204000,Latin America & Caribbean,Lower middle income,Guatemala
GUM,,,,,,,,,,,,,,,,,,,,,,,East Asia & Pacific,High income,Guam
GUY,,,,,,,,,,,,,,,,,,,,,,,Latin America & Caribbean,Upper middle income,Guyana
HKG,,,,47594000,53144000,58901000,61096000,64540000,60936000,68903000,72300000,75812000,80682000,81911000,81958000,84442000,84816000,85276000,84414000,84519000,89082000,91758000,East Asia & Pacific,High income,"Hong Kong SAR, China"
HND,149000,162000,183000,202000,235000,274000,279000,279000,277000,295000,284000,295000,315000,387000,395000,408000,449000,464000,471000,557000,692000,,Latin America & Caribbean,Lower middle income,Honduras
HRV,,,,,,,,,,,,,,2357000,2497000,1873000,2880000,2680000,2927000,2763000,2578000,,Europe & Central Asia,Upper middle income,Croatia
HTI,,,,,,,,,,,,,,,,,,,,,,,Latin America & Caribbean,Low income,Haiti
HUN,13083000,12064000,12173000,12317000,10622000,11065000,11167000,12966000,14283000,17558000,17759000,16597000,17056000,17162000,16640000,16082000,16634000,16143000,16038000,16340000,17276000,,Europe & Central Asia,High income,Hungary
IDN,,,,,,2205000,2505000,3231000,3478000,3941000,4106000,4967000,5158000,5486000,5053000,6235000,6750000,7454000,8025000,8074000,8176000,,East Asia & Pacific,Lower middle income,Indonesia
IMN,,,,,,,,,,,,,,,,,,,,,,,Europe & Central Asia,High income,Isle of Man
IND,3056000,3464000,3726000,3811000,4115000,4416000,4564000,4940000,5351000,6213000,7185000,8340000,9783000,10868000,11067000,12988000,13994000,14920000,16626000,18330000,20376000,,South Asia,Lower middle income,India
IRL,2547000,2733000,3053000,3330000,3576000,3783000,4216000,4634000,4929000,5409000,6113000,6848000,7713000,7877000,7047000,6917000,6514000,6600000,6579000,6676000,7094000,,Europe & Central Asia,High income,Ireland
IRN,1000000,1218000,1433000,1690000,1856000,2286000,2400000,2921000,,,,,,,,,,,,7698000,6620000,,Middle East & North Africa,Upper middle income,"Iran, Islamic Rep."
IRQ,,,,,,,,,,,,,,,,,,,,,,,Middle East & North Africa,Upper middle income,Iraq
ISL,166000,190000,203000,227000,257000,283000,,,,,364000,440000,460000,414000,259000,299000,341000,358000,365000,400000,450000,536000,Europe & Central Asia,High income,Iceland
ISR,2259000,2505000,2707000,2983000,3203000,3530000,3561000,3273000,3299000,3614000,3687000,3713000,4147000,4207000,4007000,4269000,4387000,4349000,4757000,5181000,5891000,,Middle East & North Africa,High income,Israel
ITA,,18173000,19078000,19352000,18962000,21993000,22421000,25126000,26817000,23349000,24796000,25697000,27734000,28284000,29060000,29823000,29295000,28810000,27798000,28460000,29040000,,Europe & Central Asia,High income,Italy
JAM,,,,,,,,,,,,,,,,,,,,,,,Latin America & Caribbean,Upper middle income,Jamaica
JOR,1128000,1141000,1233000,1347000,1561000,1625000,1755000,1276000,1229000,1420000,1523000,2139000,2094000,1972000,2054000,2708000,1931000,1567000,1498000,1230000,,,Middle East & North Africa,Lower middle income,Jordan
JPN,15298000,16695000,16803000,15806000,16358000,17819000,16216000,16523000,13296000,16831000,17404000,17535000,17295000,15987000,15446000,16637000,16994000,18491000,17473000,16903000,16214000,,East Asia & Pacific,High income,Japan
KAZ,,523000,419000,502000,398000,1247000,2294000,2274000,2374000,3915000,2975000,3615000,4449000,4239000,5309000,5893000,7852000,8875000,9931000,10230000,,,Europe & Central Asia,Upper middle income,Kazakhstan
KEN,,,,,,,,,,,,,,,,,,,,,,,Sub-Saharan Africa,Lower middle income,Kenya
KGZ,42000,,,33000,45000,47000,46000,59000,116000,239000,201000,454000,559000,736000,580000,597000,931000,1326000,1401000,1442000,1720000,,Europe & Central Asia,Lower middle income,Kyrgyz Republic
KHM,31000,38000,45000,41000,49000,41000,37000,45000,60000,239000,568000,787000,996000,786000,340000,505000,710000,792000,872000,956000,1194000,1434000,East Asia & Pacific,Lower middle income,Cambodia
KIR,,,,,,,,,,,,,,,,,,,,,,,East Asia & Pacific,Lower middle income,Kiribati
KNA,,,,,,,,,,,,,,,,,,,,,,,Latin America & Caribbean,High income,St. Kitts and Nevis
KOR,3819000,4649000,4542000,3067000,4342000,5508000,6084000,7123000,7086000,8826000,10080000,11610000,13325000,11996000,9494000,12488000,12694000,13737000,14846000,16081000,19310000,22383000,East Asia & Pacific,High income,"Korea, Rep."
KWT,878000,1051000,1097000,1264000,1209000,1236000,1666000,1725000,1774000,1928000,2173000,2529000,2649000,,,,,,,,,,Middle East & North Africa,High income,Kuwait
LAO,,,,,,,,,,,,,,,,1686000,1788000,2052000,2857000,3320000,3067000,,East Asia & Pacific,Lower middle income,Lao PDR
LBN,,,,,,,,,,,,,,,,,,,,,,,Middle East & North Africa,Upper middle income,Lebanon
LBR,,,,,,,,,,,,,,,,,,,,,,,Sub-Saharan Africa,Low income,Liberia
LBY,484000,493000,650000,,,,,,,,,,,,,,,,,,,,Middle East & North Africa,Upper middle income,Libya
LCA,,,,,,,,,,,,,,,,,,,,,,,Latin America & Caribbean,Upper middle income,St. Lucia
LIE,,,,,,,,,,,,,,,,,,,,,,,Europe & Central Asia,High income,Liechtenstein
LKA,504000,494000,531000,518000,497000,524000,505000,533000,561000,680000,727000,757000,862000,966000,963000,1122000,1239000,1269000,1262000,1311000,1356000,,South Asia,Lower middle income,Sri Lanka
LSO,,,,,,,,,,,,,,,,,,,,,,,Sub-Saharan Africa,Lower middle income,Lesotho
LTU,1925000,2864000,2981000,3241000,3487000,3632000,3390000,3584000,3502000,,1633000,1789000,1661000,1757000,1288000,1411000,1526000,1708000,1764000,1789000,1860000,,Europe & Central Asia,High income,Lithuania
LUX,,,694000,757000,809000,950000,923000,1049000,1021000,1100000,1185000,1084000,1132000,1190000,1362000,1237000,1643000,1580000,1624000,1815000,1702000,,Europe & Central Asia,High income,Luxembourg
LVA,1812000,1798000,1877000,1961000,2256000,2596000,2697000,2306000,2286000,2457000,2959000,3151000,3398000,3782000,3268000,3332000,3257000,183000,1776000,1846000,1720000,,Europe & Central Asia,High income,Latvia
MAC,,,,,,,,,,,629000,645000,599000,606000,671000,753000,908000,1291000,1446000,1537000,1466000,1256000,East Asia & Pacific,High income,"Macao SAR, China"
MAF,,,,,,,,,,,,,,,,,,,,,,,Latin America & Caribbean,High income,St. Martin (French part)
MAR,1317000,1212000,1203000,1275000,1545000,1508000,1701000,1533000,1612000,1603000,2247000,2135000,2669000,3421000,2293000,2175000,2378000,2323000,2195000,1850000,1910000,,Middle East & North Africa,Lower middle income,Morocco
MCO,,,,,,,,,,,,,,,,,,,,,,,Europe & Central Asia,High income,Monaco
MDA,71000,54000,35000,28000,37000,32000,30000,52000,67000,68000,57000,68000,82000,85000,93000,116900,135900,146400,157300,179500,185700,,Europe & Central Asia,Lower middle income,Moldova
MDG,39000,,,,,,,,,,,,,,,,,,,,,,Sub-Saharan Africa,Low income,Madagascar
MDV,32000,32000,33000,37000,42000,42000,41000,43000,44000,61000,77000,74000,102000,123000,,,,,,,,,South Asia,Upper middle income,Maldives
MEX,8450000,9001000,8910000,9637000,10352000,11079000,12075000,11948000,11044000,12494000,13305000,14002000,15257000,14527000,14104000,14334000,14799000,15581000,15911000,18261000,19603000,,Latin America & Caribbean,Upper middle income,Mexico
MHL,,,,,,,,,,,,,,,,,,,,,,,East Asia & Pacific,Upper middle income,Marshall Islands
MKD,,,,,,,,,,,,,,,,,,,,,,,Europe & Central Asia,Upper middle income,"Macedonia, FYR"
MLI,,,,,,,,,,,,,,,,,,,,,,,Sub-Saharan Africa,Low income,Mali
MLT,163000,168000,172000,167000,179000,200000,179000,157000,174000,203000,225000,257000,280000,261000,264000,294000,309000,331000,363000,391000,428000,,Middle East & North Africa,High income,Malta
MMR,,,,,,,,,,,,,,,,,,,,,,,East Asia & Pacific,Lower middle income,Myanmar
MNE,,,,,,,,,,,,,,,,,,,,,,,Europe & Central Asia,Upper middle income,Montenegro
MNG,,,,,,,,,,,,,,,,,,,,,,,East Asia & Pacific,Lower middle income,Mongolia
MNP,,,,,,,,,,,,,,,,,,,,,,,East Asia & Pacific,High income,Northern Mariana Islands
MOZ,,,,,,,,,,,,,,,,,,,,,,,Sub-Saharan Africa,Low income,Mozambique
MRT,,,,,,,,,,,,,,,,,,,,,,,Sub-Saharan Africa,Lower middle income,Mauritania
MUS,107000,120000,132000,143000,154000,163000,161000,162000,161000,180000,183000,186000,213000,226000,196000,212000,219000,237000,250000,257000,254000,,Sub-Saharan Africa,Upper middle income,Mauritius
MWI,,,,,,,,,,,,,,,,,,,,,,,Sub-Saharan Africa,Low income,Malawi
MYS,20642000,23333000,26165000,25631000,26067000,30532000,36248000,29866000,32201000,30761000,,,,,,,,,,,,,East Asia & Pacific,Upper middle income,Malaysia
NAM,,,,,,,,,,,,,,,,,,,,,,,Sub-Saharan Africa,Upper middle income,Namibia
NCL,59000,64000,63000,68000,69000,69000,68000,72000,78000,89000,96000,100000,106000,112000,119000,132000,124000,121000,121000,124000,127000,,East Asia & Pacific,High income,New Caledonia
NER,10000,10000,10000,10000,,,,,,,,,,,,,,,,,,,Sub-Saharan Africa,Low income,Niger
NGA,,,,,,,,,,,,,,,,,,,,,,,Sub-Saharan Africa,Lower middle income,Nigeria
NIC,255000,282000,330000,422000,452000,486000,499000,532000,562000,701000,740000,773000,949000,942000,858000,908000,912000,979000,994000,959000,925000,,Latin America & Caribbean,Lower middle income,Nicaragua
NLD,12313000,12807000,12858000,13553000,14184000,13896000,14214000,16719000,16425000,17130000,17039000,16695000,17523000,18399000,18340000,18368000,18560000,18628000,18094000,17928000,18070000,,Europe & Central Asia,High income,Netherlands
NOR,590000,692000,753000,,2271000,2394000,2348000,2629000,2588000,2960000,3166000,3236000,3395000,,,,,,,,,,Europe & Central Asia,High income,Norway
NPL,100000,119000,132000,122000,125000,155000,200000,238000,258000,286000,373000,415000,469000,561000,589000,765000,774000,862000,983000,,,,South Asia,Low income,Nepal
NRU,,,,,,,,,,,,,,,,,,,,,,,East Asia & Pacific,Upper middle income,Nauru
NZL,920000,1093000,1132000,1166000,1185000,1283000,1287000,1293000,1374000,1733000,1872000,1861000,1978000,1967000,1918000,2026000,2096000,2172000,2197000,2276000,2412000,,East Asia & Pacific,High income,New Zealand
OMN,,,,,,,,2060000,,,2018000,2248000,2263000,2062000,1645000,1873000,2446000,2888000,3103000,3358000,3838000,,Middle East & North Africa,High income,Oman
PAK,,,,,,,,,,,,,,,,,,,,,,,South Asia,Lower middle income,Pakistan
PAN,185000,188000,194000,211000,221000,216000,200000,200000,227000,256000,285000,284000,314000,369000,336000,392000,414000,447000,619000,853000,740000,,Latin America & Caribbean,Upper middle income,Panama
PER,508000,510000,577000,538000,513000,730000,1060000,1232000,1433000,1635000,1841000,1857000,1915000,1913000,1891000,2058000,2132000,2296000,2364000,2442000,2595000,,Latin America & Caribbean,Upper middle income,Peru
PHL,1615000,2121000,1930000,1817000,1755000,1670000,1787000,1969000,1803000,1920000,2144000,2745000,3066000,3355000,3188000,,,,,,,,East Asia & Pacific,Lower middle income,Philippines
PLW,,,,9000,,,,,,,,,,,,,,,,,,,East Asia & Pacific,High income,Palau
PNG,51000,,64000,65000,58000,52000,38000,92000,,,,,,,,,,,,,,,East Asia & Pacific,Lower middle income,Papua New Guinea
POL,36387000,44713000,48610000,49328000,55097000,56677000,53122000,45043000,38730000,37226000,40841000,44696000,47561000,50243000,39270000,42760000,43270000,48290000,52580000,35400000,44300000,,Europe & Central Asia,High income,Poland
PRI,1237000,1184000,1251000,1250000,1134000,1259000,1331000,1227000,1272000,1361000,1410000,1468000,1441000,1438000,1116000,980000,924000,876000,839000,793000,746000,,Latin America & Caribbean,High income,Puerto Rico
PRK,,,,,,,,,,,,,,,,,,,,,,,East Asia & Pacific,Low income,"Korea, Dem. People’s Rep."
PRT,,,,,,,,,,17141000,18110000,18378000,20989000,,,,,1361000,1329000,1460000,,,Europe & Central Asia,High income,Portugal
PRY,427000,418000,369000,318000,281000,175000,157000,141000,153000,170000,188000,210000,242000,278000,288000,302000,347000,400000,440000,426000,1008000,,Latin America & Caribbean,Upper middle income,Paraguay
PSE,,,,,,,,,,,,,,,,,,,,,,,Middle East & North Africa,Lower middle income,West Bank and Gaza
PYF,63000,65000,,,,,,,,,,,,,88000,89000,84000,83000,80000,79000,78000,,East Asia & Pacific,High income,French Polynesia
QAT,,,,,,,,,,,,,,,,,,,,,,,Middle East & North Africa,High income,Qatar
ROU,5737000,5748000,6243000,6893000,6274000,6388000,6408000,5757000,6497000,6972000,7140000,8906000,10980000,13072000,11723000,10905000,10936000,11149000,11364000,12299000,13118000,,Europe & Central Asia,Upper middle income,Romania
RUS,21329000,12260000,11182000,10635000,12631000,18371000,18030000,20428000,20572000,24507000,28416000,29107000,34285000,36538000,34276000,39323000,43726000,47813000,54069000,45889000,34550000,,Europe & Central Asia,Upper middle income,Russian Federation
RWA,,,,,,,,,,,,,,,,,,,,,,,Sub-Saharan Africa,Low income,Rwanda
SAU,,,,,,,,7896000,4104000,3811000,4403000,2000000,4126000,4087000,6032000,17827000,15281320,18671000,19153960,19824490,20819000,,Middle East & North Africa,High income,Saudi Arabia
SDN,195000,,,,,,,,,,,,,,,,,,,,,,Sub-Saharan Africa,Lower middle income,Sudan
SEN,,,,,,,,,,,,,,,,,,,,,,,Sub-Saharan Africa,Low income,Senegal
SGP,2867000,3305000,3671000,3745000,3971000,4444000,4363000,4399000,4221000,5165000,5159000,5533000,6024000,6828000,6961000,7342000,7753000,8048000,8647000,8903000,9125000,,East Asia & Pacific,High income,Singapore
SLB,,,,,,,,,,,,,,,,,,,,,,,East Asia & Pacific,Lower middle income,Solomon Islands
SLE,,,6000,7000,13000,13000,20000,27000,13000,28000,63000,67000,71000,73000,72000,76000,99000,104000,111000,93000,61000,,Sub-Saharan Africa,Low income,Sierra Leone
SLV,348000,492000,627000,868000,787000,923000,933000,1001000,940000,1079000,1239000,1242000,1012000,,1345000,1421000,1469000,1462000,1515000,1515000,1618000,,Latin America & Caribbean,Lower middle income,El Salvador
SMR,,,,,,,,,,,,,,,,,,,,,,,Europe & Central Asia,High income,San Marino
SOM,,,,,,,,,,,,,,,,,,,,,,,Sub-Saharan Africa,Low income,Somalia
SRB,,,,,,,,,,,,,,,,,,,,,,,Europe & Central Asia,Upper middle income,Serbia
SSD,,,,,,,,,,,,,,,,,,,,,,,Sub-Saharan Africa,Low income,South Sudan
STP,,,,,,,,,,,,,,,,,,,,,,,Sub-Saharan Africa,Lower middle income,Sao Tome and Principe
SUR,,,,,,,,,,,,,,,,,,,,,,,Latin America & Caribbean,Upper middle income,Suriname
SVK,,,,,,,,,,,2987000,3149000,3603000,3683000,3230000,2692000,3285000,2689000,2129000,2406000,2777000,,Europe & Central Asia,High income,Slovak Republic
SVN,,,,,,1965000,2055000,2127000,2114000,2800000,2660000,2680000,2496000,2459000,2586000,2874000,2722000,2474000,2612000,2642000,2867000,,Europe & Central Asia,High income,Slovenia
SWE,10127000,10390000,10818000,11422000,10500000,10147000,10741000,12888000,12649000,13950000,15677000,12559000,12692000,13291000,11699000,13042000,14651000,15548000,15917000,,,,Europe & Central Asia,High income,Sweden
SWZ,,,,,,,,,,,1082000,1072000,1130000,1177000,1245000,1141000,1264000,1403000,1573000,1657000,1713000,1747000,Sub-Saharan Africa,Lower middle income,Swaziland
SXM,,,,,,,,,,,,,,,,,,,,,,,Latin America & Caribbean,High income,Sint Maarten (Dutch part)
SYC,31000,29000,30000,31000,32000,36000,41000,53000,50000,48000,52000,55000,58000,54000,49000,59000,48000,45000,47000,50000,56000,,Sub-Saharan Africa,High income,Seychelles
SYR,1746000,1871000,2299000,2411000,2994000,3863000,3492000,3299000,3997000,4309000,4564000,4042000,4196000,5253000,5215000,6259000,,,,,,,Middle East & North Africa,Lower middle income,Syrian Arab Republic
TCA,,,,,,,,,,,,,,,,,,,,,,,Latin America & Caribbean,High income,Turks and Caicos Islands
TCD,,,,,,27000,40000,23000,,,,,,58000,66000,39000,76000,79000,86000,98000,94000,,Sub-Saharan Africa,Low income,Chad
